Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
06/05/2017,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/05/2017,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/05/2017,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/05/2018,AQS,170191001,1,0.1,ppm,1,ISWS CLIMATE STATION,11,46.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/05/2018,AQS,170314201,1,0.2,ppm,2,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/05/2018,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/05/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/05/2019,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/05/2020,AQS,170191001,1,0.1,ppm,1,ISWS CLIMATE STATION,18,75.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/05/2020,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/06/2011,AQS,170310063,1,0.7,ppm,8,CTA BUILDING,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.877682,-87.635027
06/06/2011,AQS,170313103,1,0.6,ppm,7,IEPA TRAILER,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.9651934814238,-87.8762647334973
06/06/2011,AQS,170314002,1,0.8,ppm,9,COOK COUNTY TRAILER,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8552431328191,-87.7524696987102
06/06/2011,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2011,AQS,170316004,1,1.2,ppm,14,COM ED MAINTENANCE AREA,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8721168410596,-87.8290802510295
06/06/2011,AQS,171430036,1,0.9,ppm,10,COMMERCIAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,37900,"Peoria, IL",17,Illinois,143,Peoria,40.7000719734901,-89.6134137467008
06/06/2011,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2011,AQS,171670008,1,0.5,ppm,6,FEDERAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,44100,"Springfield, IL",17,Illinois,167,Sangamon,39.7993091983669,-89.6476078887195
06/06/2011,AQS,172010011,1,0.7,ppm,8,CITY HALL,24,100.0,42101,Carbon monoxide,54.0,40420,"Rockford, IL",17,Illinois,201,Winnebago,42.2676735265954,-89.0878509189793
06/06/2012,AQS,170310063,1,0.5,ppm,6,CTA BUILDING,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.877682,-87.635027
06/06/2012,AQS,170313103,1,0.5,ppm,6,IEPA TRAILER,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.9651934814238,-87.8762647334973
06/06/2012,AQS,170314002,1,0.4,ppm,5,COOK COUNTY TRAILER,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8552431328191,-87.7524696987102
06/06/2012,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,18,75.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2012,AQS,171430036,1,0.7,ppm,8,COMMERCIAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,37900,"Peoria, IL",17,Illinois,143,Peoria,40.7000719734901,-89.6134137467008
06/06/2012,AQS,171630010,1,0.3,ppm,3,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2012,AQS,171670008,1,0.4,ppm,5,FEDERAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,44100,"Springfield, IL",17,Illinois,167,Sangamon,39.7993091983669,-89.6476078887195
06/06/2012,AQS,172010011,1,0.5,ppm,6,CITY HALL,24,100.0,42101,Carbon monoxide,67.0,40420,"Rockford, IL",17,Illinois,201,Winnebago,42.2676735265954,-89.0878509189793
06/06/2013,AQS,171630010,1,0.3,ppm,3,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2014,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,9,38.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2014,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2014,AQS,171630010,1,0.7,ppm,8,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2015,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2015,AQS,170314201,1,0.2,ppm,2,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2015,AQS,171630010,1,0.5,ppm,6,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2016,AQS,170191001,1,0.1,ppm,1,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2016,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2016,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2017,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2017,AQS,170314201,1,0.2,ppm,2,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2017,AQS,171630010,1,0.3,ppm,3,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2018,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2018,AQS,170314201,1,0.2,ppm,2,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/06/2018,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/06/2019,AQS,171630010,1,0.6,ppm,7,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/06/2020,AQS,170191001,1,0.1,ppm,1,ISWS CLIMATE STATION,7,29.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/06/2020,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
06/07/2011,AQS,170310063,1,0.6,ppm,7,CTA BUILDING,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.877682,-87.635027
06/07/2011,AQS,170313103,1,0.5,ppm,6,IEPA TRAILER,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.9651934814238,-87.8762647334973
06/07/2011,AQS,170314002,1,0.6,ppm,7,COOK COUNTY TRAILER,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8552431328191,-87.7524696987102
06/07/2011,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/07/2011,AQS,170316004,1,0.8,ppm,9,COM ED MAINTENANCE AREA,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8721168410596,-87.8290802510295
06/07/2011,AQS,171430036,1,0.9,ppm,10,COMMERCIAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,37900,"Peoria, IL",17,Illinois,143,Peoria,40.7000719734901,-89.6134137467008
06/07/2011,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/07/2011,AQS,171670008,1,0.4,ppm,5,FEDERAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,44100,"Springfield, IL",17,Illinois,167,Sangamon,39.7993091983669,-89.6476078887195
06/07/2011,AQS,172010011,1,0.7,ppm,8,CITY HALL,24,100.0,42101,Carbon monoxide,54.0,40420,"Rockford, IL",17,Illinois,201,Winnebago,42.2676735265954,-89.0878509189793
06/07/2012,AQS,170310063,1,0.6,ppm,7,CTA BUILDING,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.877682,-87.635027
06/07/2012,AQS,170313103,1,0.6,ppm,7,IEPA TRAILER,24,100.0,42101,Carbon monoxide,54.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.9651934814238,-87.8762647334973
06/07/2012,AQS,170314002,1,0.5,ppm,6,COOK COUNTY TRAILER,24,100.0,42101,Carbon monoxide,93.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.8552431328191,-87.7524696987102
06/07/2012,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/07/2012,AQS,171430036,1,0.9,ppm,10,COMMERCIAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,37900,"Peoria, IL",17,Illinois,143,Peoria,40.7000719734901,-89.6134137467008
06/07/2012,AQS,171630010,1,0.4,ppm,5,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/07/2012,AQS,171670008,1,0.4,ppm,5,FEDERAL BUILDING,24,100.0,42101,Carbon monoxide,54.0,44100,"Springfield, IL",17,Illinois,167,Sangamon,39.7993091983669,-89.6476078887195
06/07/2012,AQS,172010011,1,0.5,ppm,6,CITY HALL,24,100.0,42101,Carbon monoxide,67.0,40420,"Rockford, IL",17,Illinois,201,Winnebago,42.2676735265954,-89.0878509189793
06/07/2013,AQS,171630010,1,0.3,ppm,3,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
06/07/2014,AQS,170191001,1,0.2,ppm,2,ISWS CLIMATE STATION,24,100.0,42101,Carbon monoxide,593.0,16580,"Champaign-Urbana, IL",17,Illinois,19,Champaign,40.05278,-88.37251
06/07/2014,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0,42101,Carbon monoxide,554.0,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
06/07/2014,AQS,171630010,1,0.7,ppm,8,IEPA-RAPS TRAILER,24,100.0,42101,Carbon monoxide,54.0,41180,"St. Louis, MO-IL",17,Illinois,163,Saint Clair,38.6120344810656,-90.1604766324869
